#GPCCHS 2.0.0.2 15/05/2018 etat-fa.txt


FT en cours de traitement :
===========================
# ref_client | etat | date_emission | auteur | titre | gravite | contournement
ISIS-FT-2281|Livr?|2017-10-11 16:40:04||zoom plotView VIMA|N|2.0.0
ISIS-FT-2288|Livr?|2017-10-11 16:40:04||configuration VIMA|D|2.0.0-rc4.3
ISIS-FT-2309|Livr?|2017-10-12 15:11:29||surveillance du monitoringState pour param?tres TM VIMA|D|2.0.0
ISIS-FT-2311|Livr?|2017-10-17 09:33:59||offset timeLine VIMA|D|2.0.0
ISIS-FT-2312|Livr?|2017-10-17 09:33:59||?diteur HTML VIMA|D|2.0.0-rc4
ISIS-FT-2315|Livr?|2017-10-17 09:33:59||configuration VIMA JS|D|2.0.0-rc4.2
ISIS-FT-2414|Livr?|2017-10-24 14:14:06||affichage des paquets TM VIMA|D|1.1.2.6
ISIS-FT-2416|Livr?|2017-10-24 14:14:06||relecture SDD GPVI|None|2.0.0
ISIS-FT-2417|Livr?|2017-10-24 14:14:06||relecture SVS GPVI|None|2.0.0-rc4.3
ISIS-FT-2430|Livr?|2017-10-31 13:57:43||perfo VIMA|P|2.0.0
ISIS-FT-2448|Livr?|2017-11-07 16:32:32||VIMA crashe en real-time sur reception d'un decommutedPacket avec une dynamicView ouverte|P|1.1.2.8
ISIS-FT-2588|Livr?|2017-11-24 14:13:25||Non repr?sentativit? de l'affichage de la vue PUS MME|D|1.1.2.9
ISIS-FT-2600|Livr?|2017-11-28 09:50:01||PUS 11 : ?tat incoh?rent entre l?IHM et le mod?le sol (dump)|D|1.1.2.11
ISIS-FT-2604|Livr?|2017-11-28 09:50:01||Vima Qt : l?ouverture de la vue PUS MME provoque un crash de la VIMA Qt|D|2.0.0-rc4
ISIS-FT-2655|Livr?|2017-11-30 07:37:24||Application des ACL sur l'installeur incomplete|D|1.1.2.11
ISIS-FT-2658|Livr?|2017-11-30 07:37:25||Partitionnement par d?faut du CD d'installation RedHat|D|1.1.2.11
ISIS-FT-2659|Livr?|2017-11-30 07:37:25||documentation du processus d'installation: suppression keytab|D|2.0.0-rc4
ISIS-FT-2663|Livr?|2017-11-30 07:37:25||le script session-system plante et ne permet pas l'analyse des logs|D|2.0.0
ISIS-FT-2701|Livr?|2017-12-07 15:20:05||faux-positifs Erreurs lors de la s?curisation de l'installeur|D|2.0.0-rc4.1
ISIS-FT-2726|Livr?|2017-12-13 15:48:16||mauvais format dates en-tete DynamicView|D|2.0.0-rc4.3
ISIS-FT-2727|Livr?|2017-12-13 15:48:16||impossible d'agrandir une vue dans une nouvelle page|D|1.1.2.11
ISIS-FT-2728|Livr?|2017-12-13 15:48:16||contenu dynamicView incorrect|D|1.1.2.12
ISIS-FT-2751|Livr?|2018-01-02 10:15:43||impossible sauvegarder ?dition dynamicViews|D|1.1.2.11
ISIS-FT-2755|Livr?|2018-01-02 10:15:43||performance VIMA/TBD sur sc?nario repr?sentatif|P|1.1.2.11
ISIS-FT-2800|Livr?|2018-01-17 10:49:13||fonctionnement queries VIMA incorrect|D|2.0.0-rc4.2
ISIS-FT-2823|Livr?|2018-01-30 14:14:34||bugs timeSetter de VIMA|D|2.0.0-rc4.4
ISIS-FT-2865|Livr?|2018-02-13 15:17:28||Droits sur les fichiers g?n?r?s par le SGC incorrects|None|2.0.0-rc4.3
ISIS-FT-2913|Livr?|2018-02-16 15:29:26||Workspace VIMA JS : perte des liens vers les pages lors d'un import d'un workspace|D|2.0.0-rc4.4
ISIS-FT-942|Livr?|2016-01-06 10:35:03||Lancement impossible de Vima depuis un deuxi?me client l?ger|D|1.1.0.2


#Generated by Framework DDC-ng (version 0.8a)
